First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
D,Trevor Daley (13707796),Trevor Daley,13707796,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,DET,2.82
D,Jonathan Ericsson (13707804),Jonathan Ericsson,13707804,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,DET,0
D,Brian Lashoff (13707808),Brian Lashoff,13707808,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,DET,0
D,Dylan McIlrath (13707810),Dylan McIlrath,13707810,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,DET,0
D,Oliwer Kaski (13707814),Oliwer Kaski,13707814,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,DET,0
D,Tarmo Reunanen (13707816),Tarmo Reunanen,13707816,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,NYR,0
D,Darren Raddysh (13707820),Darren Raddysh,13707820,D/UTIL,2500,DET@NYR 11/06/2019 08:00PM ET,NYR,0
C,Ivan Barbashev (13707596),Ivan Barbashev,13707596,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,3.64
C,Riley Sheahan (13707602),Riley Sheahan,13707602,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,1.34
C,Kyle Brodziak (13707606),Kyle Brodziak,13707606,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
C,Cooper Marody (13707610),Cooper Marody,13707610,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
C,Klim Kostin (13707614),Klim Kostin,13707614,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
C,Mike Vecchione (13707616),Mike Vecchione,13707616,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
C,Bogdan Yakimov (13707618),Bogdan Yakimov,13707618,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
C,Jordan Kyrou (13707620),Jordan Kyrou,13707620,C/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
RW,Oskar Sundqvist (13707680),Oskar Sundqvist,13707680,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,4.44
RW,Patrick Russell (13707686),Patrick Russell,13707686,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,3.54
RW,Vladimir Tarasenko (13707690),Vladimir Tarasenko,13707690,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,11.76
LW,Robby Fabbri (13707692),Robby Fabbri,13707692,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,2.26
LW,Tomas Jurco (13707696),Tomas Jurco,13707696,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,2.22
RW,Josh Archibald (13707698),Josh Archibald,13707698,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,1.82
LW,Joakim Nygard (13707700),Joakim Nygard,13707700,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,4.1
LW,Nolan Vesey (13707702),Nolan Vesey,13707702,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
LW,Tyler Benson (13707708),Tyler Benson,13707708,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
LW,Brad Malone (13707710),Brad Malone,13707710,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
RW,Josh Currie (13707716),Josh Currie,13707716,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
RW,Kailer Yamamoto (13707720),Kailer Yamamoto,13707720,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
LW,Jordan Nolan (13707724),Jordan Nolan,13707724,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
LW,Joseph Gambardella (13707730),Joseph Gambardella,13707730,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
RW,Nick Lappin (13707732),Nick Lappin,13707732,W/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
D,Joel Persson (13707788),Joel Persson,13707788,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,3.52
D,Matt Benning (13707792),Matt Benning,13707792,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,3.61
D,Robert Bortuzzo (13707798),Robert Bortuzzo,13707798,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,2.53
D,Brandon Manning (13707800),Brandon Manning,13707800,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,3.67
D,Caleb Jones (13707802),Caleb Jones,13707802,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
D,Evan Bouchard (13707806),Evan Bouchard,13707806,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
D,Jake Dotchin (13707812),Jake Dotchin,13707812,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
D,Derrick Pouliot (13707818),Derrick Pouliot,13707818,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
D,Philip Broberg (13707822),Philip Broberg,13707822,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
D,William Lagesson (13707824),William Lagesson,13707824,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
D,Petteri Lindbohm (13707826),Petteri Lindbohm,13707826,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
D,Keegan Lowe (13707828),Keegan Lowe,13707828,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
D,Mitch Reinke (13707830),Mitch Reinke,13707830,D/UTIL,2500,STL@EDM 11/06/2019 08:30PM ET,STL,0
